Unnamed: 0,CrossingId,Group,Number,StructureType,CrossingName,Date,RoadName,Latitude,Longitude,Fish Spp,Barriers up/downstream?,Further Assesment Required?,Shape,Material,Diameter (m),Wet width (m),High Water mark (cm),Inlet depth (cm),Outlet depth (cm),Inlet El (m),Outlet El (m),Length (m),Slope (%),Outflow drop (cm),Outflow pool depth (cm),Plunge factor (1.5x),Condition,Notes,DFO Comments,Obstruction?,Sent_to_Reg_Review,Monitoring & Occurences Unit Update,Added to pick list?,Issue,Action Required,geometry,segment_id,dist_meters
139,Glenwood FN39,Glenwood FN,39,Culvert,Long Pond Culvert 6,2019-10-31,Forestry Road,49.1234,-54.68914,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. 2 culverts good condition,,No,,,NO,,,POINT (-54.68914 49.1234),02YL000-24807,167651.193306556
140,Glenwood FN40,Glenwood FN,40,Culvert,North Culvert 1,2019-10-30,Norris Arm North,49.13093,-55.18338,Trout,no,,,,,,,,,,,,,,,,,3 culverts in great shape.,"Cannot confirm backwatering by photos, further assessment required.",Incomplete,,,YES,"Cannot confirm backwatering by photos, further assessment required.",Complete Section 2 and resubmit.,POINT (-55.18338 49.13093),02YL000-24807,132702.634012685
141,Glenwood FN41,Glenwood FN,41,Culvert,North Culvert 2,2019-10-30,Norris Arm North,49.13288,-55.18844,Trout,no,No,,,,,,,,,,,,,,,,Culvert inlet completely blocked with beaver material and large metal screen (could not scan),,Yes,2020-07-13,,NO,,,POINT (-55.18844 49.13288),02YL000-24807,132285.634902646
142,Glenwood FN42,Glenwood FN,42,Culvert,Obrien Culvert 1,2019-10-29,TCH,49.07155,-55.02391,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Culvert in good condition,,No,,,NO,,,POINT (-55.02391 49.07155),02YL000-24807,145814.46024222
143,Glenwood FN43,Glenwood FN,43,Culvert,Obrien Culvert 2,2019-10-29,TCH,49.11932,-55.08313,Trout,no,,,,,,,,,,,,,,,,,Culvert in overall good condition.,"Culvert is not backwatered and does not have a natural bottom, further assessment required",Incomplete,,,YES,"Culvert is not backwatered and does not have a natural bottom, further assessment required",Complete Section 2 and resubmit.,POINT (-55.08313 49.11932),02YL000-24807,140073.415423043
144,Glenwood FN44,Glenwood FN,44,Culvert,Obrien Culvert 3,2019-10-29,TCH,49.12193,-55.09151,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Good condition,,No,,,NO,,,POINT (-55.09151 49.12193),02YL000-24807,139403.692359516
145,Glenwood FN45,Glenwood FN,45,Culvert,Obrien Culvert 4,2019-10-29,TCH,49.12225,-55.0932,Trout,no,No,,,,,,,,,,,,,,,,Culvert filled with mud about 3/4 on outlet.,Inlet blocked with debris.,Yes,2020-07-13,,NO,,,POINT (-55.0932 49.12225),02YL000-24807,139275.339727997
146,Glenwood FN46,Glenwood FN,46,Culvert,Obrien Culvert 5,2019-10-29,TCH,49.12219,-55.09355,,no,No,,,,,,,,,,,,,,,,2 culverts blocked by beavers.,Photos don't show blockages - are these inside the culverts?,Incomplete,,,YES,Photos don't show beaver activity blockages - are these inside the culverts?,Provide information,POINT (-55.09355 49.12219),02YL000-24807,139252.857606913
147,Glenwood FN47,Glenwood FN,47,Culvert,Sandy Culvert 1,1930-10-30,Norris Arm North,49.07167,-55.31012,Trout,no,,,,,,,,,,,,,,,,,Culvert in good condition.,"Culvert is not backwatered, further assessment required",Incomplete,,,YES,Culvert is not backwatered.,Complete Section 2 and resubmit.,POINT (-55.31012 49.07167),02YL000-24807,126149.869759649
148,Glenwood FN48,Glenwood FN,48,Culvert,Johnathans Culvert 2,2019-10-24,Gander Bay Road,49.06538,-54.54809,"Trout,Salmon",no,,,,,,,,,,,,,,,,,Spotted reds in brook (spawn salmon).,"Culvert is not backwatered, further assessment required",Incomplete,,,YES,Culvert is not backwatered.,Complete Section 2 and resubmit.,POINT (-54.54809 49.06538),02YL000-24807,179266.449273961
149,Glenwood FN49,Glenwood FN,49,Culvert,Lewisporte Culvert 1,2019-10-25,TCH,49.026,-54.94474,Trout,no,No,,,,,,,,,,,,,,,,Culvert in great shape but has large screen on inlet,Screen likely blocking fish passage,Yes,2020-07-13,,NO,,,POINT (-54.94474 49.026),02YL000-24807,152942.477933319
150,Glenwood FN50,Glenwood FN,50,Culvert,Lewisporte Culvert 2,2019-10-24,TCH,49.03146,-54.95869,Trout,no,No,,,,,,,,,,,,,,,,"Culvert partially collapsed in center, but not bad",,No,,,NO,,,POINT (-54.95869 49.03146),02YL000-24807,151777.562089589
151,Glenwood FN51,Glenwood FN,51,Culvert,Lewisporte Culvert 3,2019-10-25,TCH,49.04007,-54.97861,Trout,no,No,,,,,,,,,,,,,,,,Concrete culvert with natural bottom,,No,,,NO,,,POINT (-54.97861 49.04007),02YL000-24807,150084.820834441
152,Glenwood FN52,Glenwood FN,52,Beaver Dam,Lewisporte 4 Barrier 1,2019-10-25,TCH,49.03971,-54.97872,Trout,no,,,,,,,,,,,,,,,,,"Full barier. Beaver dam not active, removed some material for trout to move through","Natural barrier, could be monitored.",Yes,,,NO,,,POINT (-54.97872 49.03971),02YL000-24807,150090.580570818
153,Glenwood FN53,Glenwood FN,53,Culvert,Lewisporte Culvert 4,2019-10-25,TCH,49.05648,-55.01024,Trout,no,No,,,,,,,,,,,,,,,,Culvert partially collapsed  approx 20 feet from outlet,"Not backwatered, further assessment required",Incomplete,,,YES,Culvert is not backwatered.,Complete Section 2 and resubmit.,POINT (-55.01024 49.05648),02YL000-24807,147300.372250569
154,Glenwood FN54,Glenwood FN,54,Culvert,Lewisporte Culvert 5,2019-10-25,TCH,49.05678,-55.00952,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Trout move up brook to spawn,,No,,,NO,,,POINT (-55.00952 49.05678),02YL000-24807,147339.212587678
155,Glenwood FN55,Glenwood FN,55,Culvert,Poleline Culvert 1,2019-10-22,Bowaters,48.7019,-55.00674,Trout,no,No,,,,,,,,,,,,,,,,No trout present but suspected.,"Culvert cannot be confirmed as backwatered based on photos, further assessment required",Incomplete,,,YES,"Cannot confirm backwatering by photos, further assessment required.",Complete Section 2 and resubmit.,POINT (-55.00674 48.7019),02YL000-24807,164672.991678606
156,Glenwood FN56,Glenwood FN,56,Barrier,Poleline Barrier 1,2019-10-24,TCH,48.96806,-54.71257,Trout,no,,,,,,,,,,,,,,,,,Cleaned debris from inlet of culvert.,"There is not a culvert visible in the photos, further clarification required.",Incomplete,,,YES,"Notes stated that debris was removed from the culvert inlet, but there is not a culvert visible in the photos",Clarification required.,POINT (-54.71257 48.96806),02YL000-24807,171108.753920457
157,Glenwood FN57,Glenwood FN,57,Culvert,Reids Culvert 1,2019-10-22,Bowaters,48.6819,-55.04359,Trout,no,No,,,,,,,,,,,,,,,,,,No,,,NO,,,POINT (-55.04359 48.6819),02YL000-24807,163590.38408175
158,Glenwood FN58,Glenwood FN,58,Culvert,Reids Culvert 2,2019-10-22,Bowaters,48.6854,-55.03341,Trout,no,No,,,,,,,,,,,,,,,,Cleared out several small barriers rock/sticks.,"No outlet photo provided, cannot confirm if this culvert is backwatered.",Incomplete,,,YES,"No outlet photo provided, cannot confirm if this culvert is backwatered.","Submit outlet photo, and fill in Section 2 if culvert is not backwatered.",POINT (-55.03341 48.6854),02YL000-24807,164005.440836035
159,Glenwood FN59,Glenwood FN,59,Culvert,Reids Culvert 3,2019-10-22,Bowaters,48.6884,-55.02619,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. No trout observed but suspected,,No,,,NO,,,POINT (-55.02619 48.6884),02YL000-24807,164270.531217593
160,Glenwood FN60,Glenwood FN,60,Culvert,Southwest Culvert 1,2019-10-23,Bowaters,48.71596,-55.08582,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Culvert in good condition,,No,,,NO,,,POINT (-55.08582 48.71596),02YL000-24807,158921.891395817
161,Glenwood FN61,Glenwood FN,61,Culvert,Southwest Culvert 2,2019-10-23,Bowaters,48.73313,-55.06725,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Culvert in good condition,,No,,,NO,,,POINT (-55.06725 48.73313),02YL000-24807,159057.564637757
162,Glenwood FN62,Glenwood FN,62,Culvert,Southwest Culvert 3,2019-10-23,Bowaters,48.71272,-55.04534,Trout,no,No,,,,,,,,,,,,,,,,Culvert in good condition.,"Culvert is not backwatered, further assessment required",Incomplete,,,YES,Culvert is not backwatered.,Complete Section 2 and resubmit.,POINT (-55.04534 48.71272),02YL000-24807,161628.110285776
163,Glenwood FN63,Glenwood FN,63,Beaver Dam,Southwest 4,2019-10-23,Bowaters,48.71259,-55.04531,Trout,no,,,,,,,,,,,,,,,,,Partial Barrier: dam/sticks. Trout can still gain access to spawning grounds,Natural partial barrier,Yes,,,NO,,,POINT (-55.04531 48.71259),02YL000-24807,161637.691677336
164,Glenwood FN64,Glenwood FN,64,Culvert,Steady Culvert 1,2019-10-22,Bowaters,48.69337,-55.0924,Trout,no,No,,,,,,,,,,,,,,,,Culvert cannot be assessed with scanner because of depth of water on both ends exceeds 4ft. Definitely backwatered at highwater mark.,"Culvert is perched and not backwatered, further assessment required",Incomplete,,,YES,"Culvert is not backwatered because it's perched, further assessment required",Complete Section 2 and resubmit.,POINT (-55.0924 48.69337),02YL000-24807,159888.362958708
165,Glenwood FN65,Glenwood FN,65,Culvert,Twin Pond Culvert 1,2019-10-24,TCH,48.9677,-54.71244,Trout,no,No,,,,,,,,,,,,,,,,Culvert in good condition.,"No inlet photo provided, cannot confirm if this culvert is backwatered by photos provided.",Incomplete,,,YES,"No inlet photo provided, cannot confirm if this culvert is backwatered by photos provided.","Submit inlet photo, confirm if culvert is backwatered. If not backwatered, fill in Section 2 and resubmit.",POINT (-54.71244 48.9677),02YL000-24807,171131.395903337
166,Glenwood FN66,Glenwood FN,66,Culvert,Twin Pond Culvert 2,2019-10-24,TCH,48.96806,-54.71257,Trout,no,No,,,,,,,,,,,,,,,,Backwatered. Cleaned debris from inlet of culvert,,No,,,NO,,,POINT (-54.71257 48.96806),02YL000-24807,171108.753920457
167,Glenwood FN67,Glenwood FN,67,Culvert,Twin Pond Culvert 3,2019-10-24,TCH,48.96838,-54.71198,Trout,no,No,,,,,,,,,,,,,,,,"Natural Bottom. Man made rock culvert from ""CN"" company",,No,,,NO,,,POINT (-54.71198 48.96838),02YL000-24807,171137.1776308
168,GREC1,GREC,1,Culvert,Weir's Brook Watershed 01,2019-09-25,Gander Bay,49.15783333,-54.50871667,Trout,,No,,,,,,,,,,,,,,,,"No trout to be seen, but trout goes in culvert, two cement culverts",,No,,,NO,,,POINT (-54.50871667 49.15783333),02YL000-24807,179592.592937645
169,GREC2,GREC,2,Culvert,Weir's Brook Watershed 02,2019-09-25,Gander Bay,49.20045,-54.47451667,Trout,,Yes,round,CSP,3,0.795,0.53,30.5,4.5,1.8,2.5,34.916,2.004811548,29,77.5,,good,"No Trout seen, but Trout goes up culvert.  The outlet elevation is higher than inlet elevation this might have been done for a reason, cause of slope of brook at inlet.",SLOPE MAY RESULT IN VELOCITY BARRIER,Yes,2020-07-13,,NO,,,POINT (-54.47451667 49.20045),02YL000-24807,181102.101310883
170,GREC3,GREC,3,Culvert,Weir's Brook Culvert 01,2019-09-25,Gander Bay,49.16698333,-54.50798333,"Trout,Salmon",,No,,,,,,,,,,,,,,,,"No fish to be seen, but salmon and trout goes up culvert.",DFO Note: culvert is baffled.,No,,,NO,,,POINT (-54.50798333 49.16698333),02YL000-24807,179432.953037797
171,GREC4,GREC,4,Culvert,Jonathan's Pond  Brook Culvert 01,2019-09-23,Gander Bay,49.06513333,-54.54801667,"Trout,Salmon,Parr",,No,,,,,,,,,,,,,,,,"Sign of salmon in the salmon pool, observed juveniles no red seen, this is a triple culvert installation the culvert we used was the center one.",,Incomplete,,,YES,Culvert not backwatered,Culvert requires further assessment - Fill in Section 2,POINT (-54.54801667 49.06513333),02YL000-24807,179278.970915016
172,GREC5,GREC,5,Culvert,Jonathan's Pond Culvert 02,2019-09-25,Gander Bay,49.06738333,-54.54435,Trout,,No,,,,,,,,,,,,,,,,"Lots of small trout at inlet and outlet. No other fish observed and reds, the culvert in picutres is the big one, two culvert and assessed one.",,No,,,NO,,,POINT (-54.54435 49.06738333),02YL000-24807,179470.202111362
173,GREC6,GREC,6,Culvert,Island Pond Brook Culvert 01,2019-09-25,Gander Bay,49.12466667,-54.50728333,"Trout,Salmon",,No,,,,,,,,,,,,,,,,"No fish seen but salmon and trout goes up culvert and no re seen in culvert, ladder put in culvert.",,No,,,NO,,,POINT (-54.50728333 49.12466667),02YL000-24807,180508.756828765
174,GREC7,GREC,7,Culvert,5th Pond Culvert 01,2019-10-02,Weir's Pond Road,49.23783333,-54.37193333,Trout,no,No,oval,CSP,3.17,3.305,71,47.5,48,0.92,0.95,12.369,0.242541838,,43,,good,No fish seen but trout goes up culvert. Culvert is backwatered but further assessment was done anyway,,No,,,NO,,,POINT (-54.37193333 49.23783333),02YL000-24807,187761.186477289
175,GREC8,GREC,8,Culvert,Weir's Pond Culvert 01,2019-10-02,Weir's Pond Road,49.21401667,-54.3628,Trout,no,No,oval,CSP,2.37,2.64,89,86,53,1.3,1.17,9.876,-1.316322398,,56,,good,Small trout seen. Culvert is backwatered but further assessment was done anyway,,No,,,NO,,,POINT (-54.3628 49.21401667),02YL000-24807,188849.00957615
176,GREC9,GREC,9,Culvert,Weir's Pond Culvert 02,2019-10-02,Weir's Pond Road,49.23276667,-54.33715,Trout,no,No,round,CSP,0.615,0.44,15,21,9,0.465,0.475,9.13,0.109529025,11,30,,good,No fish seen but trout goes up culvert. Two culverts at this location - assessed the one with the most significant water flow,,No,,,NO,,,POINT (-54.33715 49.23276667),02YL000-24807,190351.510310287
177,GREC10,GREC,10,Culvert,Barry Pond Culvert 02,2019-10-12,Gander Bay,49.32693333,-54.41526667,Trout,no,No,round,CSP,0.92,0.61,11,18.5,0.85,0.84,0.84,23.263,0,0,39.5,,good,"No trout seen, but trout goes in pond",,No,,,NO,,,POINT (-54.41526667 49.32693333),02YL000-24807,183337.075737052
178,GREC11,GREC,11,Culvert,Barry Pond Culvert 01,2019-10-12,Gander Bay,49.32598333,-54.41688333,Trout,no,No,round,CSP,1.17,0.73,22,12.5,11.5,0.62,0.73,20.92,0.52581262,0,42.5,,good,"No trout seen, but trout goes into the brook/pond from the bay",,No,,,NO,,,POINT (-54.41688333 49.32598333),02YL000-24807,183231.382679918
179,GREC12,GREC,12,Culvert,Lake Culvert 01,2019-11-13,Gander Bay,49.34865,-54.40488333,Trout,no,Yes,round,CSP,2.27,1.26,New culvert,35,20,1.1,1.46,24.157,1.490251273,26,69,,good,"No trout to be seen. Two culverts, the one on the right is the one we did the assessment on. Tide to strong to get high water mark and it's a new culvert, too new for high water mark. Trout do come in brook",SLOPE MAY LEAD TO VELOCITY BARRIER,Incomplete,,,YES,Coordinates seem off,Verify coordinates,POINT (-54.40488333 49.34865),02YL000-3190,183680.603623575
180,GREC13,GREC,13,Culvert,Lake Culvert 02,2019-11-13,Gander Bay,49.33356667,-54.40835,Trout,no,No,round,plastic,,,,,,,,,,,,,good,No trout seen but trout goes in brook to as seems to be backwatered.,,No,,,NO,,,POINT (-54.40835 49.33356667),02YL000-3190,183709.752907128
181,GREC14,GREC,14,Culvert,Carmanville wetland culvert 01,2019-11-15,Carmanville Rd,49.38078333,-54.28071667,"Trout,Salmon,Parr",no,Yes,round,CSP,1.915,1.73,,33,34,0.83,0.97,24.9,0.562248996,0,35,,good,"No fish seen, but trout and salmon parr goes in brook, the one we did the assessment on was the middle one. Triple culvert, new culvert doesn't have high water mark",,No,,,NO,,,POINT (-54.28071667 49.38078333),02YL000-3190,192067.833475061
182,GREC15,GREC,15,Culvert,Burnt Lake Culvert 02,2019-11-20,Burnt Lake Access Road,49.28828333,-54.64568333,Trout,no,No,,,,,,,,,,,,,,,,Backwatered,Is this a duplicate? Require more information.,Incomplete,,,YES,Duplicate? May be for GBIBC not GREC. No photos received.,Verify report/coordinates,POINT (-54.64568333 49.28828333),02YL000-24807,167226.717827948
183,Humber Arm1,Humber Arm,1,Culvert,Hughes Brook Trib 002,2019-09-18,Hughes Brook access rd,49.00711,-57.8634,"Trout,Salmon",unknown,No,,,,,,,,,,,,,,,,Fish present. CSP arch culvert - natural bottom.,,No,,,NO,,,POINT (-57.8634 49.00711),02YL000-1448,25.5345767036529
184,Humber Arm2,Humber Arm,2,Barrier,Hughes Brook Trib 003,2019-09-18,Hughes Brook access rd,49.00804,-57.86138,"Trout,Salmon",unknown,Yes,,,,,,,,,,,,,,,,"Fish present below the ladder. Outflow drop at bottom of ladder = 20cm, outflow pool =0.51cm. First step of outflow drop = 36cm, pool depth = 3cm. Second step of outflow drop = 68cm, outflow pool = 39cm.",Fish likely unable to pass through ladder due to high drops and shallow pools.,Yes,2020-07-13,,NO,,,POINT (-57.86138 49.00804),02YL000-1111,12.1639397321786
185,Humber Arm3,Humber Arm,3,Culvert,Hughes Brook Trib 004,2019-09-18,Hughes Brook access rd,49.00739,-57.85558,Salmon,unknown,No,,,,,,,,,,,,,,,,CSP arch culvert - natural bottom. Steep terrain in area. Very low water level,,No,,,NO,,,POINT (-57.85558 49.00739),02YL000-1111,16.4953230363096
186,Humber Arm4,Humber Arm,4,Culvert,Hughes Brook Trib 005,2019-09-18,Hughes Brook access rd,49.00622,-57.84803,Salmon,known beaver presence upstream,Yes,round,CSP,1.52,0.93,33,20.9,14.3,0.645,1.26,13.68,4.495614035,0,13.5,,poor,"Flows through steep terrain, stream bed appears to be relatively steep upstream. One culvert is dry (not assessed).",4.5% culvert slope but terrain is steep upstream.,Yes,2020-07-13,,NO,,,POINT (-57.84803 49.00622),02YL000-1111,10.1244876298134
187,Humber Arm5,Humber Arm,5,Culvert,Hughes Brook Trib 006,2019-09-18,Rubber Lake access Road,49.01074,-57.82065,Salmon,known beaver presence upstream,Yes,round,CSP,1.12,0.51,31,13.6,5.4,0.545,0.825,13.643,2.052334531,0,37.2,,fair,"Beaver dam upstream appears to be old (inactive). Culvert has some large (approx 30m) rocks in middle of culvert, appears to be a drop in the culvert approx 1/3 way in from inlet.",2% slope likely lead to a velocity barrier and culvert is in fair condition.,Yes,2020-07-13,,NO,,,POINT (-57.82065 49.01074),02YL000-19065,19.5264312910246
188,Humber Arm6,Humber Arm,6,Culvert,Monkey Brook 002,2019-09-19,Hughes Brook access rd,49.06038,-57.85341,Salmon,unknown,Yes,round,CSP,2.95,0.88,28.5,6.7,5.3,1.27,1.935,21.377,3.11082004,112.4,72.3,0.643238434,poor,"Some presence of beaver structure at outlet, however, this did not block off entire stream.","3% slope, 112cm outflow drop, and poor condition.",Yes,2020-07-13,,NO,,,POINT (-57.85341 49.06038),02YL000-26076,20.5194338187924
189,Humber Arm7,Humber Arm,7,Culvert,Trout Brook 001,2019-09-20,"Reidville Rd, Reidville",49.22269,-57.40342,"Trout,Salmon",Beaver dam at culvert inlet,Yes,oval,CSP,3.89,2.53,23,16.8,13.4,1.26,1.255,20.63,-0.024236549,0,65.9,,poor,"There was a full beaver dam across the inlet of the culvert, still allowed some flow of water through but most likely obstruct any fish passge.",Beaver activity at inlet likely impeding fish passage at low water levels,Maybe,,,NO,,,POINT (-57.40342 49.22269),02YL000-26578,32.0215965131357
190,Humber Arm8,Humber Arm,8,Culvert,Rocky Brook 002,2019-09-20,"Cormack Rd, Cormack",49.25059,-57.45968,"Trout,Salmon",unknown,No,,,,,,,,,,,,,,,,Concrete box culvert with exposed natural bottom. Scheduled salmon river,,No,,,NO,,,POINT (-57.45968 49.25059),02YL000-26513,5.94256564351581
191,Humber Arm9,Humber Arm,9,Culvert,Rocky Brook 003,2019-09-20,Route 430,49.27629,-57.50912,"Trout,Salmon",Beaver dam on outflow of culvert,No,,,,,,,,,,,,,,,,"Two CSP culverts, both backwatered. Beaver dam on outflow of culvert, outflow pool very deep. Not natural bottom.",,No,,,NO,,,POINT (-57.50912 49.27629),02YL000-27193,11.9571891505753
192,Humber Arm10,Humber Arm,10,Culvert,Rocky Brook 004,2019-09-20,Route 430,49.27894,-57.51175,"Trout,Salmon","Beavers present, dams up/downstream",No,,,,,,,,,,,,,,,,"Two CSP culverts, both backwatered. Substantial debris inside inlet of both culverts from beavers, could be full barrier. Not natural bottom.",Beaver activity in culverts could impede fish passage,Maybe,,,NO,,,POINT (-57.51175 49.27894),02YL000-27326,7.90940038886503
193,Humber Arm11,Humber Arm,11,Culvert,Rocky Brook 005,2019-09-20,Route 430,49.29463,-57.53054,"Trout,Salmon",Beaver dam present,No,,,,,,,,,,,,,,,,"Some debris and a large rock in middle of culvert, brook takes a sharp right turn before culvert inlet. Not natural bottom.",,No,,,NO,,,POINT (-57.53054 49.29463),02YL000-25588,6.91982482037525
194,Humber Arm12,Humber Arm,12,Culvert,Rocky Brook 006,2019-09-20,Route 430,49.29739,-57.53119,"Trout,Salmon",Beaver dam present downstream,Yes,round,CSP,2.39,0.88,34,12.9,6.4,1.29,1.31,23.54,-0.084961767,2.8,69.3,24.75,poor,Gravel present throughout culvert. Some rust holes beginning to form. Water course becoming narrow from this point and beyond upstream.,Culvert is in poor conditions with holes rusting in culvert - could be a barrier to fish passage in the future if it deteriorates further.,No,,,NO,,,POINT (-57.53119 49.29739),02YL000-27260,21.0736121536886
195,Humber Arm13,Humber Arm,13,Culvert,Middle Branch (Rocky Brook) 001,2019-09-20,"Cormack Rd, Cormack",49.26423,-57.44637,"Trout,Salmon",Full barrier of trees blocking entire inlet of culvert,No,,,,,,,,,,,,,,,,"Barrier type: Dam, multiple trees have collapsed into the river upstream and have washed down to the inlet of the culvert, creating a barrier across the entire inlet of the culvert. Full barrier.",dam (trees) at inlet- barrier to pasage,Yes,2020-07-13,,NO,,,POINT (-57.44637 49.26423),02YL000-25696,15.8351371752772
196,Humber Arm14,Humber Arm,14,Culvert,East Branch (Rocky Brook) 001,2019-09-20,"Cormack Rd, Cormack",49.27052,-57.43657,"Trout,Salmon",Beaver dam present upstream,No,,,,,,,,,,,,,,,good,CSP round culvert. Not a natural bottom. Backwatered.,,No,,,NO,,,POINT (-57.43657 49.27052),02YL000-25898,6.72138819438777
197,Humber Arm15,Humber Arm,15,Culvert,East Branch (Rocky Brook) 002,2019-09-20,"Highway Route 422, Veteran's Dr",49.27089,-57.43587,"Trout,Salmon",Beaver dam present upstream,No,,,,,,,,,,,,,,,good,"Some rocks have fallen into the outlet pool, creating a small channel outside of the culverts outlet.",,No,,,NO,,,POINT (-57.43587 49.27089),02YL000-25898,18.2737261587478
198,Humber Arm16,Humber Arm,16,Culvert,East Branch (Rocky Brook) 003,2019-09-20,"Highway Route 422, Veteran's Dr",49.27328,-57.43274,"Trout,Salmon",Beaver dam present upstream,No,,,,,,,,,,,,,,,,Culvert is one half CSP with concrete footings and a natural exposed bottom.,,No,,,NO,,,POINT (-57.43274 49.27328),02YL000-25898,10.6427463392141
199,Humber Arm17,Humber Arm,17,Culvert,East Branch (Rocky Brook) 004,2019-09-20,Tamarack Rd,49.29252,-57.42294,"Trout,Salmon",Beaver dam present on site,Yes,round,CSP,1.75,1.39,40.5,18.4,29.4,1.22,1.37,11.87,-1.263689975,0,38.7,,excellent,"3 culverts present; one out of water, one blocked by beaver dam, one with water flow. Beaver dam present on side. Some fish seen in outlet pool, unidentified. Most surrounding material around outpool is bedrock.",,No,,,NO,,,POINT (-57.42294 49.29252),02YL000-25633,3.00383205218407
200,Humber Arm18,Humber Arm,18,Culvert,East Branch (Rocky Brook) 005,2019-09-20,Tamarack Rd,49.29712,-57.42423,"Trout,Salmon",Beaver dam present downstream,No,,,,,,,,,,,,,,,,"Two CSP culverts present, both backwatered. Not natural bottom.",,No,,,NO,,,POINT (-57.42423 49.29712),02YL000-26202,16.0483092646601
201,Humber Arm19,Humber Arm,19,Culvert,West Rocky Brook 001,2019-09-20,Route 430,49.24841,-57.46789,"Trout,Salmon",unknown,Yes,round,CSP,3.29,1.42,70,15.5,9.5,0.61,2.87,61.052,3.701762432,19.5,85.2,4.369230769,good,"Outflow pool consists of bedrock and shale, culvert appears to have a small drop in elevation in middle along bottom.","3.7% Slope, high flow visible in culvert.",Yes,2020-07-13,,NO,,,POINT (-57.46789 49.24841),02YL000-27255,3.93512277773548
202,Humber Arm20,Humber Arm,20,Culvert,West Rocky Brook 002,2019-09-23,JTB 2016 Trail (NLSF),49.24587,-57.48965,"Trout,Salmon",Beaver dam present upstream,No,,,,,,,,,,,,,,,,Low profile concrete box culvert with natural exposed bottom. Old truck abandoned along streambank near cuvert outlet.,,No,,,NO,,,POINT (-57.48965 49.24587),02YL000-27255,18.7889230727111
203,Humber Arm21,Humber Arm,21,Culvert,West Rocky Brook 003,2019-09-23,JTB 2016 Trail (NLSF),49.25259,-57.52701,"Trout,Salmon","Beaver dam, old bridge structure located upstream, small falls located downstream",No,,,,,,,,,,,,,,,,"Small falls located downstream (approximately 1 meter), followed by at least one other. Beaver dam located upstream across where stream begins to drain out of West Pond. Old collapsed wooded bridge directly below beaverdam that spans approximately half the diameter of the waterway. Another dam at culvert inlet -possibly full barrier. Streambed throughout culvert is exposed.",Beaver dam upstream and beaver activity in culvert inlet.,Maybe,,,NO,,,POINT (-57.52701 49.25259),02YL000-26985,23.1289000069399
204,Humber Arm22,Humber Arm,22,Culvert,Harrimans Brook 002,2019-09-23,"Cormack Rd, Cormack",49.36553,-57.26902,"Trout,Salmon",unknown,No,,,,,,,,,,,,,,,,Low profile concrete box culvert with natural exposed bottom. Deep slow moving water.,,No,,,NO,,,POINT (-57.26902 49.36553),02YL000-26819,6.89509136050228
205,Humber Arm23,Humber Arm,23,Culvert,Blue Gulch Brook 001,2019-09-24,"Lakeshore Drive, Pasadena",49.02335,-57.60243,"Trout,Salmon",unknown,Yes,round,CSP,3.95,3.25,44,14.2,73.4,0.48,2.945,53.141,4.638602962,0,148,,good,"Very steep culvert, and baffled throughout. A lot of gravel within each baffle pool. Inlet elevation was 0.480 m, outlet elevation had to be taken at 30.096 m from inlet instead of actual outlet as the elevation from inlet to outlet is greater than the diameter of the culvert.",Outlet elevation entered at inlet el + diameter. Culvert is baffled.,No,,,NO,,,POINT (-57.60243 49.02335),02YL000-27434,20.9140495125787
206,Humber Arm24,Humber Arm,24,Culvert,Blue Gulch Brook 004,2019-09-24,"Main Street, Pasadena",49.01737,-57.59382,"Trout,Salmon",unknown,No,,,,,,,,,,,,,,,,"Concrete low-profile box culvert, with exposed natural bottom.",,No,,,NO,,,POINT (-57.59382 49.01737),02YL000-27434,2.48766691733853
207,Humber Arm25,Humber Arm,25,Culvert,Blue Gulch Brook 005,2019-09-24,"Bonnell Drive, Pasadena",49.01552,-57.59023,"Trout,Salmon",Dam upstream,Yes,Pipe arch,CSP,2.2,1.34,17,15.2,8.4,0.97,1.33,14.095,2.554097198,0,84.4,,good,"Three culverts on site, only one with good water flow. Some debris in the middle of culvert (branches/gravel)",2.55% slope could lead to a velocity barrier.,Yes,2020-07-13,,NO,,,POINT (-57.59023 49.01552),02YL000-27434,8.96082002617525
208,Humber Arm26,Humber Arm,26,Barrier,Blue Gulch Brook 006,2019-09-24,Community Centre,49.01464,-57.58808,"Trout,Salmon",unknown,,,,,,,,,,,,,,,,,"Concrete dam for recreational summer use (outdoor swimming pool). Gates were open on dam at time of assessment, allowing normal water flow. Fish ladder also installed on dam for fish passage when dam is closed. Possibly operated by town of Pasadena. Dam is documented in NL dam inventory report.",Could be a barrier to fish if gates are closed.,Maybe,,,NO,,,POINT (-57.58808 49.01464),02YL000-27434,9.6439768994237
